antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
hamburger meat,rolls/buns,0.017222820236813777,0.10190168640114819,0.001794043774668102,0.10416666666666669,1.0222271126760565,1.0,3.900934795295573e-05,1.0025283500638347,0.02212486308871864,0.015290519877675842,0.002521973631642049,0.060886150234741795
bottled beer,whole milk,0.040545389307499104,0.1304867838775266,0.005382131324004306,0.13274336283185842,1.0172935441220607,1.0,9.149387220649258e-05,1.0026019736922398,0.0177179423252723,0.03249097472924188,0.0025952209954839506,0.08699496280914644
pip fruit,rolls/buns,0.03755531634971893,0.10190168640114819,0.003946896304269824,0.10509554140127388,1.031342513680811,1.0,0.00011994623490485176,1.00356893405708,0.03157585548538688,0.02912621359223301,0.0035562420636637187,0.07191396788373552
frankfurter,whole milk,0.012199497667743094,0.1304867838775266,0.0020332496112905156,0.16666666666666666,1.277268560953254,1.0,0.0004413763957053327,1.043415859346968,0.21976026153287326,0.014455782312925172,0.04160935350756533,0.09112435074854873
candy,whole milk,0.016026791053701712,0.1304867838775266,0.002152852529601722,0.1343283582089552,1.0294403327085926,1.0,6.156810912706992e-05,1.004437680693202,0.029064192428723712,0.014913007456503728,0.0044180746884559105,0.07541349166176449
processed cheese,rolls/buns,0.011481880157875853,0.10190168640114819,0.0014352350197344816,0.125,1.2266725352112675,1.0,0.0002652120685910505,1.0263980726844022,0.1869328493647912,0.012820512820512822,0.025719137035557327,0.06954225352112677
salty snack,rolls/buns,0.019614878603037914,0.10190168640114819,0.0020332496112905156,0.10365853658536586,1.0172406389556854,1.0,3.446040308715441e-05,1.0019600233347734,0.01728752987104326,0.01701701701701702,0.001956189158375811,0.061805794114279174
seasonal products,rolls/buns,0.007774189690228441,0.10190168640114819,0.001076426264800861,0.13846153846153847,1.3587757313109425,1.0,0.0002842232249641631,1.0424355425700957,0.2661121825779492,0.009911894273127752,0.04070807338885646,0.0745124593716143
red/blush wine,soda,0.011123071402942232,0.09460590838416458,0.001196029183112068,0.10752688172043011,1.1365768117124098,1.0,0.00014372090901479417,1.0144777171117192,0.12151669085631343,0.011441647597254004,0.01427110410363489,0.060084553376017834
uht-milk,other vegetables,0.019854084439660327,0.10668580313359646,0.002152852529601722,0.10843373493975904,1.0163839213355665,1.0,3.470358567431945e-05,1.0019605181069122,0.01644634262083911,0.017307692307692305,0.0019566819964286107,0.06430655356853422
detergent,rolls/buns,0.008491807200095682,0.10190168640114819,0.001196029183112068,0.14084507042253522,1.3821662368577663,1.0,0.00033069970882890556,1.0453275453363686,0.2788661037394452,0.01095290251916758,0.04336205004698587,0.07629107981220658
chewing gum,other vegetables,0.012199497667743094,0.10668580313359646,0.0013156321014232747,0.10784313725490195,1.0108480611975732,1.0,1.4118894913665771e-05,1.0012972316524522,0.01086418122378878,0.011190233977619531,0.0012955510226583475,0.060087487909962184
pot plants,yogurt,0.008372204281784475,0.07857911733046287,0.001076426264800861,0.12857142857142856,1.636203522504892,1.0,0.0004185458422279151,1.057368226014223,0.392111928597274,0.012534818941504176,0.054255674232309724,0.07113502935420743
