item,score
beverages,0.21723193930987494
flour,0.10796608772631086
chicken,0.0880699195582069
frankfurter,0.07852368455613505
ham,0.07826953442405878
dishes,0.06369185026043651
chewing gum,0.05867550184228468
pot plants,0.057440369744327216
baking powder,0.05628807785725312
white wine,0.05477091547619523
frozen meals,0.05307961401774124
onions,0.04366519575094291
canned beer,0.043542952197142104
flower (seeds),0.04326292976293024
frozen potato products,0.03984251006935496
frozen fish,0.03502254245783666
curd cheese,0.031117858007703766
meat,0.030780312062557408
cream cheese,0.028872965366093427
dog food,0.028107772699679002
